Curricular units 1st sem (credited),Debtor,Curricular units 1st sem (grade),Curricular units 2nd sem (without evaluations),Target,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Mother's occupation,Previous qualification,International,Marital status,Father's occupation,Curricular units 1st sem (without evaluations),Age at enrollment,Curricular units 2nd sem (enrolled),Nacionality,Daytime/evening attendance,Tuition fees up to date,Application mode,Curricular units 2nd sem (approved),Mother's qualification,Father's qualification,Curricular units 2nd sem (credited),Curricular units 2nd sem (evaluations),Curricular units 1st sem (evaluations),Curricular units 2nd sem (grade)
0,0,0.0,0,Dropout,0,0,6,1,0,1,10,0,20,0,1,1,1,8,0,13,10,0,0,0,0.0
0,0,14.0,0,Graduate,6,6,4,1,0,1,4,0,19,6,1,1,0,6,6,1,3,0,6,6,13.666666666666666
0,0,0.0,0,Dropout,6,0,10,1,0,1,10,0,19,6,1,1,0,1,0,22,27,0,0,0,0.0
0,0,13.428571428571429,0,Graduate,6,6,6,1,0,1,4,0,20,6,1,1,1,8,5,23,27,0,10,8,12.4
0,0,12.333333333333334,0,Graduate,6,5,10,1,0,2,10,0,45,6,1,0,1,12,6,22,28,0,6,9,13.0
0,1,11.857142857142858,5,Graduate,5,5,10,12,0,2,8,0,50,5,1,0,1,12,5,22,27,0,17,10,11.5
0,0,13.3,0,Graduate,7,7,8,1,0,1,11,0,18,8,1,1,1,1,8,13,28,0,8,9,14.345
0,0,0.0,0,Dropout,5,0,10,1,0,1,10,0,22,5,1,1,0,9,0,22,27,0,5,5,0.0
0,0,13.875,0,Graduate,6,6,10,1,1,1,10,0,21,6,15,1,1,1,6,1,1,0,7,8,14.142857142857142
0,1,11.4,0,Dropout,6,5,5,1,0,1,8,0,18,6,1,1,0,1,2,1,14,0,14,9,13.5
0,0,12.333333333333334,0,Graduate,6,6,6,1,0,1,8,0,18,6,1,1,1,1,5,23,14,0,7,6,14.2
0,0,13.214285714285714,0,Graduate,8,7,10,1,0,1,10,0,18,8,1,1,1,1,7,13,28,0,8,8,13.214285714285714
0,0,0.0,0,Dropout,6,0,5,1,0,1,10,0,19,6,1,1,1,1,0,13,27,0,0,6,0.0
0,0,10.571428571428571,0,Graduate,6,6,5,16,0,1,8,0,21,6,1,1,1,17,5,1,1,0,8,7,11.0
0,0,13.25,0,Graduate,5,4,6,1,0,1,6,0,18,5,1,1,1,1,5,23,27,0,5,7,12.0
0,0,13.2,0,Dropout,6,5,10,1,0,1,4,0,20,6,1,1,1,1,0,13,27,0,7,6,0.0
0,0,12.0,0,Enrolled,6,1,6,1,0,1,9,0,18,6,1,1,1,9,2,13,28,0,14,10,11.0
0,0,13.30625,0,Graduate,7,7,6,1,0,1,5,0,18,8,1,1,1,8,8,13,1,0,8,8,14.545
0,0,12.5,2,Graduate,5,4,4,1,0,1,6,1,20,5,1,1,1,1,4,3,14,0,8,8,12.25
0,0,11.666666666666666,0,Enrolled,7,6,8,1,0,1,8,0,18,7,1,1,1,1,6,13,14,0,8,7,13.5
0,0,0.0,0,Graduate,0,0,10,1,0,1,9,0,21,0,1,1,1,1,0,1,1,0,0,0,0.0
0,0,11.4375,0,Enrolled,7,7,5,1,0,1,8,0,20,8,1,1,1,9,8,1,28,0,9,14,11.425
0,0,12.857142857142858,0,Graduate,8,7,2,1,0,1,2,0,18,8,1,1,1,1,7,13,14,0,12,12,12.857142857142858
0,0,13.375,0,Graduate,6,6,5,1,0,1,8,0,19,6,1,1,1,1,6,1,28,0,7,8,12.285714285714286
0,0,13.296666666666669,0,Graduate,7,6,4,1,0,1,8,0,19,8,1,1,1,1,7,13,14,0,9,8,14.114285714285714
0,1,11.6,0,Enrolled,6,5,10,1,0,1,10,0,18,6,1,1,1,1,4,13,28,0,12,8,11.0
0,0,11.375,0,Graduate,6,6,8,1,0,1,9,0,21,6,1,1,1,8,6,13,28,0,9,9,13.285714285714286
0,0,12.666666666666666,0,Enrolled,5,5,4,1,0,1,4,2,18,5,1,1,1,1,4,13,14,0,7,9,13.0
0,0,12.0,0,Graduate,5,5,10,1,0,1,10,0,20,5,1,1,1,1,5,13,1,0,6,6,12.333333333333334
0,0,12.933333333333332,0,Enrolled,7,6,2,1,0,1,11,0,19,7,1,1,1,8,6,3,3,0,7,9,13.716666666666669
0,0,11.857142857142858,0,Enrolled,6,5,5,14,0,1,3,0,21,6,1,1,1,15,5,4,5,0,17,15,10.571428571428571
2,0,12.833333333333334,0,Graduate,6,6,16,1,0,1,22,0,20,6,1,1,1,16,4,27,3,0,9,7,13.4
0,0,11.333333333333334,0,Enrolled,5,3,5,1,0,1,7,0,18,5,1,1,0,1,2,1,1,0,8,9,13.5
0,0,12.666666666666666,0,Graduate,6,6,10,1,0,1,6,0,19,6,1,0,1,9,6,13,1,0,8,6,14.375
0,0,12.4,0,Graduate,5,5,4,1,0,1,10,0,34,5,1,0,1,1,5,2,27,0,9,6,13.428571428571429
0,1,0.0,0,Dropout,7,0,10,1,0,1,7,0,37,7,1,1,0,12,1,23,27,0,7,7,10.0
